Gene_symbol	Final_gene_LM22_ens100
ATHL1	PGGHG
CXorf57	RADX
EMR1	ADGRE1
EMR2	ADGRE2
EMR3	ADGRE3
FAIM3	FCMR
FAM198B	GASK1B
FAM212B	INKA2
FAM65B	RIPOR2
FLJ13197	KLF3-AS1
GPR97	ADGRG3
HIST1H2AE	H2AC8
HIST1H2BG	H2BC8
KIAA0226L	RUBCNL
KIAA0754	MACF1
KIRREL	KIRREL1
MARCH3	MARCHF3
SEPT5	SEPTIN5
SEPT8	SEPTIN8
